Loaded module: cuda/10.2
Loaded dependency [gcc/8.3.0]: binutils/2.29
Loaded module: gcc/8.3.0
 98304.000  69150.100 # matmult_gpu4
 98304.000  65158.893 # matmult_gpu4
 98304.000  61629.128 # matmult_gpu4
 98304.000  70156.519 # matmult_gpu4
 98304.000  66468.544 # matmult_gpu4
 98304.000  64007.699 # matmult_gpu4
 98304.000  76101.587 # matmult_gpu4
 98304.000 824680.291 # matmult_gpu2
 98304.000 308995.139 # matmult_gpu4
 98304.000 292188.774 # matmult_gpu4
 98304.000  70034.410 # matmult_gpu4
 98304.000  64287.454 # matmult_gpu4
 98304.000  52337.094 # matmult_gpu4
 98304.000  54914.759 # matmult_gpu4
 98304.000  52644.862 # matmult_gpu4
 98304.000  67448.963 # matmult_gpu4
 98304.000  52740.212 # matmult_gpu4
 98304.000  54031.346 # matmult_gpu4
 98304.000  54915.102 # matmult_gpu4
 98304.000  51918.273 # matmult_gpu4
 98304.000  48771.093 # matmult_gpu4
 98304.000  46888.013 # matmult_gpu4
 98304.000  43377.254 # matmult_gpu4
 98304.000  67105.163 # matmult_gpu4
