 98304.000   1134.216 # matmult_blk 4
 98304.000   1810.982 # matmult_blk 8
 98304.000   2701.110 # matmult_blk 16
 98304.000   2351.249 # matmult_blk 24
 98304.000   2542.715 # matmult_blk 32
 98304.000   2534.232 # matmult_blk 36
 98304.000   2541.179 # matmult_blk 40
 98304.000   2786.226 # matmult_blk 50
 98304.000   2865.830 # matmult_blk 56
 98304.000   2847.420 # matmult_blk 60
 98304.000   3031.193 # matmult_blk 64
 98304.000   3209.502 # matmult_blk 86
 98304.000   3331.439 # matmult_blk 104
 98304.000   3714.331 # matmult_blk 128
 98304.000   3672.178 # matmult_blk 148
 98304.000   3827.633 # matmult_blk 168
 98304.000   3996.848 # matmult_blk 182
 98304.000   4133.560 # matmult_blk 192
 98304.000   4120.256 # matmult_blk 204
 98304.000   4573.309 # matmult_blk 256
 98304.000   4517.978 # matmult_blk 320
 98304.000   4975.496 # matmult_blk 512
