CPUsec.   CPUsec.   L1Hits       	L1Misses    	L2Hits      	L2Misses		Versions
4.043     4.053     4854859430  	854667273  		829059263  		26026029   		blk
1.851     1.851     4924934139  	35211015  		28809010  		4004007  		lib
140.458   140.458   25605582566   	9820671074  1049928329   8768768757   nkm
136.185   136.185   25605582560   	9731043041  1145958360   8585585578   knm
 55.659    55.659   15725711558   	1075536329   560175172    514514516   nmk
 50.045    50.055   17137121725    	918687290   614592195    304304305   mnk
  6.875     6.875    4664660462    	649803203   473748148    178178179   kmn
  5.094     5.094    4974970495    	720225226   643401199     74074075   mkn
