 98304.000    821.639 # matmult_blk 4
 98304.000   1220.885 # matmult_blk 8
 98304.000   2231.541 # matmult_blk 16
 98304.000   2021.785 # matmult_blk 24
 98304.000   2122.934 # matmult_blk 32
 98304.000   2227.079 # matmult_blk 36
 98304.000   2277.967 # matmult_blk 40
 98304.000   2424.872 # matmult_blk 50
 98304.000   2505.444 # matmult_blk 56
 98304.000   2506.582 # matmult_blk 60
 98304.000   2552.090 # matmult_blk 64
 98304.000   2595.293 # matmult_blk 86
 98304.000   2681.110 # matmult_blk 96
 98304.000   2746.729 # matmult_blk 104
 98304.000   2778.666 # matmult_blk 112
 98304.000   2865.351 # matmult_blk 118
 98304.000   2841.983 # matmult_blk 124
 98304.000   2988.060 # matmult_blk 128
 98304.000   2961.099 # matmult_blk 132
 98304.000   2956.498 # matmult_blk 142
 98304.000   2988.783 # matmult_blk 148
 98304.000   3058.510 # matmult_blk 168
 98304.000   3289.099 # matmult_blk 182
 98304.000   3322.272 # matmult_blk 192
 98304.000   3418.305 # matmult_blk 204
 98304.000   3673.489 # matmult_blk 256
 98304.000   3672.340 # matmult_blk 320
 98304.000   4067.519 # matmult_blk 512
 98304.000   4287.773 # matmult_blk 1024
 98304.000   4264.628 # matmult_blk 1560
 98304.000   3366.757 # matmult_blk 2048
